comparison,measure,n,r,mae,rmse,bias,max_abs,nan_mismatch
Locke response bias,ΔConf-Ratio,70,0.9999999999999999,6.203371150093063e-16,1.0424967703975035e-15,8.703355496615066e-17,3.9968028886505635e-15,0
Locke response bias,M-Diff,70,0.9999999916731419,3.1604504447686955e-05,4.697933723488558e-05,2.6291208183973744e-06,0.0001719057130507018,0
Locke response bias,AUC2-Diff,70,1.0,6.97854472621527e-17,1.0942477597466053e-16,6.3441315692866086e-18,4.440892098500626e-16,0
Locke response bias,Gamma-Diff,70,1.0,2.640744765715551e-16,3.8931373462323607e-16,-4.202987164652378e-17,1.5543122344752192e-15,0
Locke response bias,Phi-Diff,70,1.0,1.4313946853202912e-16,1.9807560247456016e-16,-2.101493582326189e-17,7.216449660063518e-16,0
Locke response bias,ΔConf-Diff,70,1.0,1.7763568394002506e-16,2.706499025873139e-16,-1.2688263138573217e-17,8.881784197001252e-16,0
Locke response bias,meta-noise,70,1.0,0.0,0.0,0.0,0.0,0
Locke response bias,meta-uncertainty,70,0.9999999936779371,5.72200916819233e-05,0.00019537755876438383,-5.020639033765001e-05,0.0013761146949424659,0
Locke response bias,d',70,1.0,1.2846866427805384e-16,1.9366494262693861e-16,-4.5994953877327917e-17,4.440892098500626e-16,0
Locke response bias,Criterion,70,1.0,5.729543823511969e-17,8.241984012786593e-17,-4.163336342344337e-18,2.220446049250313e-16,0
Locke response bias,Confidence,70,0.9999999999999999,0.0,0.0,0.0,0.0,0
